Store,Core SKUs Availability,Shelf Space,Total Energy Drink Shelf Space,Comp#1 Shelf Space,Brand Visibility Condition,Brand Messaging Score,Price Comm Condition Score,Ambient Placement Condition Additional,Ambient Placements Additional,Comp#1 Placement Ambient  Additional,Chilled Placement Additional,Comp#1 Placement Chilled  Additional,Cashier Placement Cooler Condition,Cashier Coolers With SKU Available,Cashier Coolers With Comp#1 Available,Shelf Space Condition,POS Communication Condition,Available Placements Types In Store,Energy Shelf Space Share,Chilled Cashier Placement,Main Competitor SKU,Ambient Placement Additional ,Buying Group,Key Account,Distributor,Sales Gross,Sales Net,Actual Service Frequency,Volume 12pck,Volume 4pck,Volume 6pck,Volume Single,Volume,SKU Distribution
1003325561,66.7,7,18,5,100,100,0,0,0,0,0,1,100,2,1,97.3,75,2,38.9,1,21,0,786531,786532,5904,7247,6263,3,,30,,520,550,15
1003326987,33.3,1,1,0,100,100,100,100,1,0,3,1,0,0,0,100,100,3,100,0,1,1,786531,786532,5904,2145,1852,3,,5,,179,184,15
1003328234,100,5,9,2.3,100,100,100,100,1,0,0,0,100,1,1,100,100,3,58.8,1,14,1,786531,786532,5908,2247,1985,2,,8,,190,198,14
1003349075,86.7,8,10,0,100,66.7,100,100,2,0,0,0,100,1,0,100,87.5,3,84.2,1,1,1,786531,786532,5901,330,284,1,,1,,79,80,15
1003387364,66.7,2,11,4,0,0,0,0,0,0,0,0,0,0,0,34.9,0,1,18.2,0,14,0,786531,786532,5904,3058,2966,4,,0,,206,205,15
1003391866,80,8,28,7.5,100,0,100,0,0,0,1,0,0,0,0,78.5,62.5,2,29.1,0,28,0,788371,780008,5901,2523,2433,4,,,3,175,178,15
1003394377,73.3,5,16,5,100,50,100,100,1,1,0,0,0,0,0,82.6,81.3,2,31.3,0,23,1,788371,780008,5908,2517,2427,4,,,,126,126,13
1003394538,66.7,4,8,0,66.7,100,100,100,1,0,1,0,0,0,0,100,87.5,3,50,0,1,1,780004,784104,5904,914,894,1,,8,,79,87,14
1003394644,53.3,3,8,0.3,100,66.7,100,100,1,0,1,1,0,0,0,97,87.5,3,38.7,0,2,1,780004,784104,5908,741,725,2,,,,62,62,14
1003395249,100,9,9,0,66.7,33.3,100,100,1,0,0,0,100,1,0,100,62.5,3,100,1,1,1,786531,786532,5908,367,325,1,,1,,69,70,10
1003396048,86.7,5,9,4,100,0,100,100,2,1,1,1,0,0,0,100,62.5,3,55.6,0,23,1,786531,786532,5901,3485,3122,3,,9,,219,228,15
1003396473,100,6,15,5,50,50,100,100,1,1,2,1,100,1,0,98.2,62.5,4,39.3,1,33,1,788371,780217,5901,1272,1228,3,,1,9,120,130,15
1003396706,100,8,10,0,100,100,100,0,0,0,0,1,100,1,0,100,100,2,80,1,1,0,786531,786532,5904,965,840,3,,4,,96,101,14
1003396725,93.3,5,5,0,66.7,33.3,100,100,2,0,0,1,100,1,0,100,62.5,3,100,1,1,1,786531,786532,5908,2244,1989,3,,,,97,97,9
1003396770,80,3,14,4,100,0,100,0,0,0,0,0,0,0,0,63.8,62.5,1,21.4,0,18,0,788371,780008,5901,3060,2949,5,,,,206,206,12
1003397349,66.7,8,14,3.8,100,100,100,100,2,0,2,0,0,0,0,100,100,3,57.1,0,6,1,786531,786532,5938,1472,1303,3,,12,,108,120,14
1003397545,100,8,28,6.8,100,50,100,0,0,1,1,0,0,0,1,77,81.3,2,28.3,0,27,0,788371,780008,5901,4071,3934,4,,3,4,197,204,12
1003397984,93.3,4,11,3.5,100,100,0,100,1,0,0,0,100,1,1,92.5,75,3,36.4,1,21,1,780004,785609,5904,1877,1817,3,,8,,107,115,14
1003398046,100,5,5,0,100,66.7,0,100,1,0,0,1,100,1,0,100,62.5,3,100,1,1,1,786531,786532,5901,1249,1099,3,,,,79,79,15
1003398713,93.3,7,8,0,50,0,100,0,0,0,0,1,100,1,1,100,43.8,2,87.5,1,1,0,786531,786532,5904,578,502,1,,8,,56,64,7
1003401290,80,4,7,2,66.7,0,100,100,1,1,1,0,0,0,0,100,50,3,55.2,0,11,1,788371,780217,5908,2698,2604,3,1,,,188,189,14
1003401605,73.3,6,14,4.3,100,0,100,0,0,0,0,0,0,0,0,100,62.5,1,43.6,0,23,0,788371,780008,5904,4746,4576,4,,,3,232,235,15
1003401631,93.3,6,16,4.5,100,0,0,100,1,0,0,0,0,0,0,97,37.5,2,38.7,0,21,1,788371,788080,5937,2552,2377,5,,4,,152,156,14
1003401818,100,5.5,15,4.8,50,0,100,100,1,1,1,0,100,1,0,95.5,43.8,4,37.9,1,28,1,788371,780217,5901,1841,1777,3,,,4,107,111,15
1003401894,100,5.5,15,5,33.3,33.3,100,100,1,2,0,0,100,1,1,95.5,50,3,37.9,1,29,1,788371,780217,5901,4917,4744,4,,,7,429,436,15
1003401897,93.3,5,13,3.5,100,33.3,100,100,3,3,0,1,100,1,0,95.1,75,3,37.7,1,24,1,780004,784519,5938,491,463,2,,,,41,41,15
1003401943,100,6,6,0,66.7,0,100,0,0,0,1,1,100,1,0,100,50,3,100,1,1,0,786531,786532,5901,1373,1214,3,,4,,74,78,14
1003401997,93.3,4,14,4,0,0,100,0,0,0,1,0,0,0,0,77.5,25,2,28.6,0,24,0,788371,780008,5904,1278,1230,4,,10,,90,100,14
1003402038,100,5,12,5.3,33.3,0,100,100,1,0,1,0,0,0,0,100,37.5,3,42.6,0,33,1,788371,780217,5901,2604,2511,4,,,1,170,171,15
1003404878,100,5.5,14,6,100,0,100,100,1,1,0,0,100,1,1,100,62.5,3,40.7,1,30,1,788371,780217,5901,6348,6128,5,,3,9,362,374,15
1003405184,86.7,5,12,3.5,100,100,0,100,1,0,0,0,100,1,0,100,75,3,42.6,1,19,1,780004,785609,5904,4714,4567,3,,13,,390,403,15
1003418555,73.3,6,9,1.8,100,66.7,0,100,1,0,2,2,0,0,0,100,62.5,3,66.7,0,12,1,786531,786532,5908,1482,1314,3,,4,,98,102,14
1003418570,93.3,6,20,3.8,100,100,100,0,0,0,0,1,0,0,0,80.3,100,1,30,0,31,0,786531,786532,5908,1313,1215,2,,1,,109,110,14
1003418601,86.7,4,15,4,100,50,100,0,0,0,1,0,0,0,0,73.9,81.3,2,26.7,0,13,0,788371,780008,5937,4632,4469,4,,,,365,365,14
1003418682,100,6,7,0,66.7,66.7,0,100,1,0,0,0,100,1,1,100,50,3,88.9,1,1,1,786531,786532,5937,1790,1661,3,,2,,125,127,15
1003418718,100,7,19,7.3,100,0,0,0,0,0,0,0,0,0,0,93.4,37.5,1,36.8,0,33,0,780004,780600,5937,3854,3754,4,,,,287,287,15
1003418831,86.7,8,32,8,0,0,100,0,0,1,0,0,0,0,0,70.7,25,1,25,0,37,0,788371,780008,5901,1869,1805,3,,,10,132,142,15
1003419021,100,5,9,1.8,100,25,100,100,1,0,1,1,100,1,0,100,71.9,4,55.6,1,14,1,786531,786532,5937,626,563,2,,2,,155,157,15
1003419081,86.7,5,5,0,100,100,100,0,0,0,0,1,0,0,0,100,100,1,100,0,0,0,786531,786532,5901,638,601,2,,5,,49,54,10
